timestamp,protocol,source_ip,source_port,destination_port,honeypot
2020-01-14T03:47:19.426Z,TCP,190.56.17.186,20386,1433,snort
2020-01-14T03:47:16.426Z,TCP,83.97.20.49,57522,1967,snort
2020-01-14T03:47:14.426Z,TCP,185.176.27.178,52434,8814,snort
2020-01-14T03:45:56.425Z,TCP,185.176.27.166,43337,53701,snort
2020-01-14T03:44:58.429Z,TCP,185.156.73.54,45725,2707,snort
2020-01-14T03:41:53.071Z,TCP,83.97.20.49,33043,1962,snort
2020-01-14T03:41:53.064Z,TCP,83.97.20.49,33043,1962,snort
2020-01-14T03:41:49.065Z,TCP,185.176.27.34,45293,13883,snort
2020-01-14T03:41:33.066Z,TCP,198.108.67.99,44275,44300,snort
2020-01-14T03:41:32.064Z,TCP,185.156.73.57,42494,3421,snort
