timestamp,protocol,source_ip,source_port,destination_port,honeypot
2020-01-14T03:47:19.426Z,TCP,190.56.17.186,20386,1433,snort
2020-01-14T03:47:16.426Z,TCP,83.97.20.49,57522,1967,snort
2020-01-14T03:47:14.426Z,TCP,185.176.27.178,52434,8814,snort
2020-01-14T03:45:56.425Z,TCP,185.176.27.166,43337,53701,snort
2020-01-14T03:44:58.429Z,TCP,185.156.73.54,45725,2707,snort
2020-01-14T03:41:53.071Z,TCP,83.97.20.49,33043,1962,snort
2020-01-14T03:41:53.064Z,TCP,83.97.20.49,33043,1962,snort
2020-01-14T03:41:49.065Z,TCP,185.176.27.34,45293,13883,snort
2020-01-14T03:41:33.066Z,TCP,198.108.67.99,44275,44300,snort
2020-01-14T03:41:32.064Z,TCP,185.156.73.57,42494,3421,snort
2019-12-14T13:40:08.791Z,ssh,103.211.112.21,27746,22,cowrie
2019-12-14T13:38:19.152Z,ssh,103.211.112.21,27982,22,cowrie
2019-12-14T11:57:05.842Z,ssh,103.211.112.21,27912,22,cowrie
2019-12-14T11:34:44.738Z,ssh,58.65.211.184,57279,22,cowrie
2019-12-14T11:19:51.641Z,ssh,92.118.160.17,47947,22,cowrie
2019-12-14T10:27:41.818Z,ssh,103.211.112.21,27766,22,cowrie
2019-12-14T10:09:21.122Z,ssh,103.211.112.21,27830,22,cowrie
2019-12-14T06:55:34.873Z,ssh,103.211.112.21,27838,22,cowrie
2019-12-14T06:21:16.925Z,ssh,103.211.112.21,27774,22,cowrie
2019-12-14T06:16:12.104Z,ssh,103.211.112.21,27876,22,cowrie
2019-12-12T08:53:48.839Z,TCP,92.118.37.55,59731,1193,suricata
2019-12-12T08:53:21.340Z,TCP,185.156.73.64,45982,11616,suricata
2019-12-12T08:52:40.838Z,TCP,185.209.0.2,48191,5643,suricata
2019-12-12T08:50:32.338Z,TCP,193.32.161.113,59531,2017,suricata
2019-12-12T08:50:00.839Z,TCP,185.176.27.118,59769,4456,suricata
2019-12-12T08:49:27.338Z,TCP,78.128.112.114,52894,1768,suricata
2019-12-12T08:49:26.839Z,TCP,185.153.196.80,48116,3138,suricata
2019-12-12T08:49:25.838Z,TCP,92.118.37.86,44285,3391,suricata
2019-12-12T08:49:09.338Z,TCP,89.248.160.178,47713,2800,suricata
2019-12-12T08:48:49.354Z,TCP,185.176.27.254,40252,50020,suricata
